oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
190220880160000,DuPage HSD 88,,0.0,,0.0,1780,82.1,389,17.9,,0.0,2169
190220890040000,CCSD 89,,0.0,,0.0,31,67.4,15,32.6,,0.0,46
190220930040000,CCSD 93,,0.0,,0.0,32,86.5,5,13.5,,0.0,37
190220940160000,CHSD 94,,0.0,,0.0,,0.0,152,100.0,,0.0,152
190220990160000,CHSD 99,,0.0,1,0.3,73,24.3,210,69.8,17,5.6,301
190221000160000,Fenton CHSD 100,,0.0,3,0.8,307,81.4,61,16.2,6,1.6,377
190221080160000,Lake Park CHSD 108,,0.0,,0.0,115,45.6,137,54.4,,0.0,252
190221800040000,CCSD 180,,0.0,,0.0,,0.0,17,94.4,1,5.6,18
190221810040000,Hinsdale CCSD 181,,0.0,,0.0,21,80.8,5,19.2,,0.0,26
190222000260000,CUSD 200,,0.0,,0.0,434,60.9,279,39.1,,0.0,713
190222010260000,CUSD 201,,0.0,,0.0,37,48.1,40,51.9,,0.0,77
190222020260000,Lisle CUSD 202,,0.0,3,4.4,23,33.8,42,61.8,,0.0,68
190222030260000,Naperville CUSD 203,,0.0,1,0.3,75,20.4,292,79.3,,0.0,368
190222040260000,Indian Prairie CUSD 204,,0.0,,0.0,1196,62.9,702,36.9,3,0.2,1901
190222050260000,Elmhurst SD 205,,0.0,,0.0,227,62.4,137,37.6,,0.0,364
200240010260000,Edwards County CUSD 1,,0.0,,0.0,30,62.5,18,37.5,,0.0,48
200300070260000,Gallatin CUSD 7,,0.0,,0.0,104,77.0,31,23.0,,0.0,135
200330100260000,Hamilton Co CUSD 10,,0.0,2,0.9,123,58.0,87,41.0,,0.0,212
200350010260000,Hardin County CUSD 1,,0.0,,0.0,98,65.3,52,34.7,,0.0,150
200760010260000,Pope Co CUD 1,,0.0,,0.0,33,67.3,16,32.7,,0.0,49
200830010260000,Galatia CUSD 1,,0.0,,0.0,33,66.0,17,34.0,,0.0,50
200830020260000,Carrier Mills-Stonefort CUSD 2,,0.0,,0.0,45,45.0,55,55.0,,0.0,100
200830030260000,Harrisburg CUSD 3,,0.0,,0.0,86,30.9,188,67.6,4,1.4,278
200830040260000,Eldorado CUSD 4,1,0.3,,0.0,309,90.6,31,9.1,,0.0,341
200930170240000,Allendale CCSD 17,,0.0,,0.0,2,66.7,1,33.3,,0.0,3
200933480260000,Wabash CUSD 348,,0.0,,0.0,394,80.1,98,19.9,,0.0,492
